1,2,3,4,5
6.888775553,6.824228011,6.831361309,6.877863965,6.837718136
0.028808285,0.027462131,0.03903342,4.309960949,0.020014168
0.021643243,0.018591555,0.029095547,0.024267984,0.016767775
0.016210348,0.014888168,0.025247533,0.016617597,0.014974065
0.013172289,0.013218028,0.0194019,0.014036737,0.013622475
0.011795435,0.012120682,0.015553784,0.012881475,0.012684658
0.010935725,0.011286162,0.013029065,0.011916924,0.011766552
0.010229149,0.010638053,0.011938736,0.011261819,0.011144714
0.009723106,0.010079804,0.010795082,0.01046408,0.010199122
0.009194862,0.009634023,0.010191283,0.009950122,0.009651991
0.008835942,0.009208086,0.008887981,0.008079279,0.007215246
0.008224559,0.008879461,0.008438021,0.007605336,0.006813005
0.007876518,0.008495264,0.007897975,0.007426718,0.006632182
0.006662184,0.008226481,0.007609131,0.007282589,0.006504882
0.006290355,0.00756552,0.007026483,0.007055915,0.006199201
0.006185227,0.007208809,0.006739559,0.006884885,0.006013738
0.006094323,0.006956201,0.006571636,0.005545362,0.005852951
0.005992013,0.006782607,0.006455495,0.005194295,0.005740157
0.005909649,0.00508313,0.005963134,0.005146062,0.005180863
0.005768025,0.004930572,0.005732677,0.005027841,0.004906927
0.005666668,0.004846677,0.005667835,0.004960571,0.004863725
0.004765466,0.004791957,0.005608758,0.0048706,0.004746555
0.004517526,0.004483776,0.005553734,0.004803598,0.004665709
0.004485573,0.004368131,0.005498381,0.004741857,0.00461429
0.004304957,0.004340299,0.005448251,0.004695016,0.00457517
0.004205548,0.00431497,0.005394622,0.00456952,0.004089645
0.004184729,0.004291771,0.005348985,0.004479414,0.003890485
0.004162444,0.004268006,0.005290255,0.004450892,0.003866366
0.004144041,0.004246784,0.005245688,0.004429407,0.003829502
0.004116792,0.004222278,0.005112901,0.00440086,0.003805273
0.004095861,0.004201726,0.005029301,0.004377617,0.003782184
0.00389923,0.004165528,0.004973951,0.004253269,0.003766207
0.003785321,0.00413749,0.004933737,0.004162618,0.003736424
0.003771607,0.003767434,0.00439039,0.004147469,0.00371475
0.003630212,0.003614146,0.004201952,0.004124798,0.003676029
0.003559762,0.003598682,0.004180428,0.004106463,0.00364901
0.003547664,0.003441424,0.003438977,0.003786728,0.003633089
0.003532063,0.003402976,0.003337067,0.003621284,0.003621652
0.003521583,0.003368498,0.003316811,0.003605582,0.003600436
0.003461777,0.003353634,0.003303003,0.003588854,0.003583907
0.003430738,0.003286742,0.003293413,0.003575059,0.003528542
0.003422086,0.003269799,0.003284011,0.003526087,0.003489838
0.003414713,0.003246951,0.003276516,0.003491058,0.003475514
0.003406277,0.00323719,0.003267336,0.003481633,0.00346461
0.003399321,0.003228078,0.003260456,0.003473608,0.00345621
0.003386632,0.003221665,0.003244809,0.003467122,0.003443246
0.003376809,0.003203179,0.003234546,0.003452231,0.003432609
0.003243116,0.003188826,0.003202103,0.003440438,0.003029552
0.003163234,0.003181334,0.003181822,0.003421878,0.002905775
0.003154972,0.003175465,0.003176489,0.003406405,0.002889898
0.003092814,0.003148039,0.003171479,0.003394896,0.002884666
0.003078831,0.003126354,0.00316607,0.003385798,0.002881034
0.003039977,0.003121143,0.003161255,0.003337254,0.002876578
0.003035523,0.003116548,0.003155219,0.003299623,0.002872935
0.00302905,0.003111617,0.003150324,0.003293659,0.002855001
0.003024135,0.003107111,0.003139291,0.003286181,0.002841487
0.002945285,0.003101382,0.003131261,0.003279572,0.002838487
0.002899209,0.003096473,0.003101869,0.003243252,0.002835522
0.002892691,0.003081591,0.003081724,0.003214339,0.002832677
0.00288144,0.003069363,0.003077444,0.00320937,0.002829663
0.00287636,0.0030634,0.003072801,0.003203859,0.002826881
0.002845142,0.0030584,0.003068633,0.003198807,0.002823576
0.002827258,0.003022033,0.003063337,0.003188878,0.002820716
0.002822073,0.002993655,0.003058988,0.003180348,0.002815269
0.002818746,0.002989686,0.003048237,0.003154923,0.002810833
0.002815349,0.002980454,0.003040258,0.003134946,0.002776644
0.002812506,0.002972867,0.003025813,0.003131114,0.002750782
